Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 1.25, 0, 1001, 9.343659936500086e-07
500, 1.25, 0.05, 1001, 9.343659936399784e-07
500, 1.25, 0.1, 1001, 9.343659936849772e-07
500, 1.25, 0.15, 1001, 9.343659936900119e-07
500, 1.25, 0.2, 1001, 9.343659936450124e-07
500, 1.25, 0.25, 1001, 9.343659936544826e-07
500, 1.25, 0.3, 1001, 9.343659936500086e-07
500, 1.25, 0.35, 1001, 9.343659936500086e-07
500, 1.25, 0.4, 1001, 9.343659936500086e-07
500, 1.25, 0.45, 1001, 9.343659936500086e-07
500, 1.25, 0.5, 1001, 9.343659936500086e-07
500, 1.25, 0.55, 1001, 9.343659936500086e-07
500, 1.25, 0.6, 1001, 9.343659936500086e-07
500, 1.25, 0.65, 1001, 9.343659936500086e-07
500, 1.25, 0.7, 1001, 9.343659936500086e-07
500, 1.25, 0.75, 1001, 9.343659936500086e-07
500, 1.25, 0.8, 1001, 9.343659936500086e-07
500, 1.25, 0.85, 1001, 9.343659936500086e-07
500, 1.25, 0.9, 1001, 9.343659936500086e-07
500, 1.25, 0.95, 1001, 9.343659936500086e-07
500, 1.25, 1, 1001, 9.343659936500086e-07
