Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 1.25, 0, 1001, 5.73413388699991e-07
500, 1.25, 0.05, 1001, 5.734133886950052e-07
500, 1.25, 0.1, 1001, 5.734133886950052e-07
500, 1.25, 0.15, 1001, 5.734133886899964e-07
500, 1.25, 0.2, 238, 1.1886082844292813e-08
500, 1.25, 0.25, 80, 4.995684164008062e-09
500, 1.25, 0.3, 48, 3.6031704125764575e-09
500, 1.25, 0.35, 40, 3.2375847834868828e-09
500, 1.25, 0.4, 40, 3.2375847834868828e-09
500, 1.25, 0.45, 40, 3.2375847834868828e-09
500, 1.25, 0.5, 40, 3.237584783496338e-09
500, 1.25, 0.55, 40, 3.2375847834868828e-09
500, 1.25, 0.6, 40, 3.2375847834868828e-09
500, 1.25, 0.65, 40, 3.2375847834868828e-09
500, 1.25, 0.7, 40, 3.2375847834868828e-09
500, 1.25, 0.75, 40, 3.2375847834868828e-09
500, 1.25, 0.8, 40, 3.2375847834868828e-09
500, 1.25, 0.85, 40, 3.2375847834868828e-09
500, 1.25, 0.9, 40, 3.2375847834868828e-09
500, 1.25, 0.95, 40, 3.2375847834868828e-09
500, 1.25, 1, 40, 3.2375847834866706e-09
