Glucose Concentration,ATP Threshold,Virus Partition Ratio,Host Lifespan,Virus Mass
500, 1.25, 0, 273, 4.293753504835002e-09
500, 1.25, 0.05, 273, 4.293753504829001e-09
500, 1.25, 0.1, 190, 5.347673897605745e-09
500, 1.25, 0.15, 85, 2.801226592321969e-09
500, 1.25, 0.2, 51, 2.236063281459318e-09
500, 1.25, 0.25, 36, 1.9852943783497118e-09
500, 1.25, 0.3, 28, 1.8453433595183338e-09
500, 1.25, 0.35, 23, 1.7568798653315354e-09
500, 1.25, 0.4, 20, 1.6959067038646558e-09
500, 1.25, 0.45, 17, 1.6575349374883782e-09
500, 1.25, 0.5, 17, 1.6575349374883575e-09
500, 1.25, 0.55, 17, 1.6575349374883782e-09
500, 1.25, 0.6, 17, 1.6575349374883782e-09
500, 1.25, 0.65, 17, 1.6575349374883782e-09
500, 1.25, 0.7, 17, 1.6575349374883782e-09
500, 1.25, 0.75, 17, 1.6575349374883782e-09
500, 1.25, 0.8, 17, 1.6575349374883782e-09
500, 1.25, 0.85, 17, 1.6575349374883782e-09
500, 1.25, 0.9, 17, 1.6575349374883782e-09
500, 1.25, 0.95, 17, 1.6575349374883782e-09
500, 1.25, 1, 17, 1.6575349374883573e-09
